coef,value
nearest_station_name[末広町(東京)]:land_m2,1677194.2152742003
nearest_station_name[本所吾妻橋]:land_m2,639091.9077177367
nearest_station_name[本蓮沼]:land_m2,371300.6296640615
nearest_station_name[本郷三丁目]:land_m2,1087065.8811426763
nearest_station_name[本駒込]:land_m2,884974.8000656659
nearest_station_name[東あずま]:land_m2,341631.8450599963
nearest_station_name[東中野]:land_m2,656591.161539183
nearest_station_name[東伏見]:land_m2,342401.8480309511
nearest_station_name[東北沢]:land_m2,818331.8606384785
nearest_station_name[東十条]:land_m2,445471.1207905115
nearest_station_name[東向島]:land_m2,352515.39441891835
nearest_station_name[東大前]:land_m2,899958.1282283274
nearest_station_name[東大島]:land_m2,404756.3262440998
nearest_station_name[東小金井]:land_m2,456463.9812768176
nearest_station_name[東尾久三丁目]:land_m2,254663.48358051316
nearest_station_name[東新宿]:land_m2,683335.6164896855
nearest_station_name[東日本橋]:land_m2,1020028.9126704136
nearest_station_name[東松原]:land_m2,658139.4869998059
nearest_station_name[東武練馬]:land_m2,358032.7391159758
nearest_station_name[東池袋]:land_m2,631458.9823321523
nearest_station_name[東長崎]:land_m2,559555.4335135918
nearest_station_name[東陽町]:land_m2,604476.4839730104
nearest_station_name[東雲(東京)]:land_m2,295199.2933078607
nearest_station_name[東高円寺]:land_m2,644876.5771251818
nearest_station_name[松原(東京)]:land_m2,682741.5133739411
nearest_station_name[松陰神社前]:land_m2,678347.2730500483
nearest_station_name[板橋]:land_m2,465845.0122749825
nearest_station_name[板橋区役所前]:land_m2,461485.06295447686
nearest_station_name[板橋本町]:land_m2,416236.25441413297
nearest_station_name[柴又]:land_m2,276682.3826909903
nearest_station_name[栄町(東京)]:land_m2,288115.24810152384
nearest_station_name[根津]:land_m2,805458.7195345594
nearest_station_name[桜上水]:land_m2,528264.831482893
nearest_station_name[桜台(東京)]:land_m2,514820.37005455355
nearest_station_name[桜新町]:land_m2,781423.7269028894
nearest_station_name[梅ケ丘]:land_m2,732743.8699004
nearest_station_name[梅屋敷(東京)]:land_m2,458309.5494836042
nearest_station_name[梅島]:land_m2,263683.54737269855
nearest_station_name[梶原]:land_m2,354047.3602433448
nearest_station_name[森下(東京)]:land_m2,767883.1318132404
nearest_station_name[椎名町]:land_m2,624720.5985531047
nearest_station_name[武蔵境]:land_m2,492696.4267704943
nearest_station_name[武蔵小山]:land_m2,852836.2883789815
nearest_station_name[武蔵新田]:land_m2,526187.404944885
nearest_station_name[武蔵関]:land_m2,369139.72865069285
nearest_station_name[水天宮前]:land_m2,810499.5969591183
nearest_station_name[水道橋]:land_m2,2238907.093570809
nearest_station_name[氷川台]:land_m2,469772.3760115295
nearest_station_name[永福町]:land_m2,614007.8875334617
nearest_station_name[江北(東京)]:land_m2,216855.35176228557
nearest_station_name[江古田]:land_m2,482003.36808297
nearest_station_name[江戸川]:land_m2,267885.86260185746
nearest_station_name[江戸川橋]:land_m2,893702.5222717845
nearest_station_name[池ノ上]:land_m2,832132.1749671674
nearest_station_name[池上]:land_m2,516268.2613859196
nearest_station_name[池尻大橋]:land_m2,849441.9046010921
nearest_station_name[池袋]:land_m2,709502.9233229255
nearest_station_name[沼袋]:land_m2,498898.3054182299
nearest_station_name[沼部]:land_m2,608317.5571507856
nearest_station_name[泉岳寺]:land_m2,1370120.1404455537
nearest_station_name[洗足]:land_m2,753984.6621828057
nearest_station_name[洗足池]:land_m2,578890.4112743717
nearest_station_name[浅草(つくばＥＸＰ)]:land_m2,531096.7403593601
nearest_station_name[浅草(東武・都営・メトロ)]:land_m2,655829.692068325
nearest_station_name[浅草橋]:land_m2,941757.6004691625
nearest_station_name[浜松町]:land_m2,970322.5116682193
nearest_station_name[浜田山]:land_m2,617332.0129900476
nearest_station_name[浜町]:land_m2,924003.1144891811
nearest_station_name[浮間舟渡]:land_m2,427669.53553701984
nearest_station_name[清澄白河]:land_m2,834571.2508241496
nearest_station_name[渋谷]:land_m2,1239078.4255156552
nearest_station_name[湯島]:land_m2,1040888.2834982589
nearest_station_name[溜池山王]:land_m2,1145719.9621805474
nearest_station_name[滝野川一丁目]:land_m2,371858.4119169915
nearest_station_name[潮見]:land_m2,469548.52559785533
nearest_station_name[熊野前]:land_m2,282729.1098707921
nearest_station_name[牛田(東京)]:land_m2,323624.6436089726
nearest_station_name[牛込柳町]:land_m2,799718.7892600524
nearest_station_name[牛込神楽坂]:land_m2,852013.844077657
nearest_station_name[王子]:land_m2,428658.8716380117
nearest_station_name[王子神谷]:land_m2,341927.15359859576
nearest_station_name[瑞江]:land_m2,318749.0632467184
nearest_station_name[用賀]:land_m2,722156.5114294192
nearest_station_name[田原町(東京)]:land_m2,841199.5968679661
nearest_station_name[田園調布]:land_m2,683154.4255257142
nearest_station_name[田町(東京)]:land_m2,1326969.8468849787
nearest_station_name[田端]:land_m2,583683.7137501534
nearest_station_name[町屋]:land_m2,350052.5283940824
nearest_station_name[町屋二丁目]:land_m2,259578.97092495958
nearest_station_name[白山(東京)]:land_m2,760496.1139146144
nearest_station_name[白金台]:land_m2,1061337.2210259566
nearest_station_name[白金高輪]:land_m2,1141636.3505962277
nearest_station_name[目白]:land_m2,865748.8559532212
nearest_station_name[目黒]:land_m2,960021.4059914282
nearest_station_name[矢口渡]:land_m2,487138.62579543865
nearest_station_name[石川台]:land_m2,584262.3961769665
nearest_station_name[石神井公園]:land_m2,452486.3922478449
nearest_station_name[祐天寺]:land_m2,873851.2194217368
nearest_station_name[祖師ケ谷大蔵]:land_m2,573956.7491250028
nearest_station_name[神保町]:land_m2,1020411.2781699043
nearest_station_name[神楽坂]:land_m2,949139.1298324913
nearest_station_name[神泉]:land_m2,1062506.2787536876
nearest_station_name[神田(東京)]:land_m2,1428512.3782232127
nearest_station_name[秋葉原]:land_m2,783883.5482722655
nearest_station_name[稲荷町(東京)]:land_m2,800574.1092093774
nearest_station_name[穴守稲荷]:land_m2,427955.98160487774
nearest_station_name[立会川]:land_m2,668149.7132354088
nearest_station_name[竹ノ塚]:land_m2,267957.26856717496
nearest_station_name[笹塚]:land_m2,682940.3395442803
nearest_station_name[等々力]:land_m2,724296.5880539913
nearest_station_name[築地]:land_m2,1302160.6432171534
nearest_station_name[篠崎]:land_m2,348305.74308981135
nearest_station_name[糀谷]:land_m2,454610.675424449
nearest_station_name[経堂]:land_m2,670055.3659715456
nearest_station_name[綾瀬]:land_m2,339369.955647381
nearest_station_name[緑が丘(東京)]:land_m2,790992.4761908551
nearest_station_name[練馬]:land_m2,557979.6567234593
nearest_station_name[練馬春日町]:land_m2,398660.6412335404
nearest_station_name[練馬高野台]:land_m2,369233.666632332
nearest_station_name[自由が丘(東京)]:land_m2,1002654.9412873427
nearest_station_name[舎人]:land_m2,210108.9330753344
nearest_station_name[舎人公園]:land_m2,239380.59924273443
nearest_station_name[船堀]:land_m2,344688.25915584527
nearest_station_name[芝公園]:land_m2,17717.30734997865
nearest_station_name[芝浦ふ頭]:land_m2,1919871.3528322869
nearest_station_name[芦花公園]:land_m2,460525.11462386645
nearest_station_name[若松河田]:land_m2,752587.6312381413
nearest_station_name[若林(東京)]:land_m2,634370.8248281789
nearest_station_name[茅場町]:land_m2,801293.2869489363
nearest_station_name[茗荷谷]:land_m2,921101.6071694423
nearest_station_name[荏原中延]:land_m2,669659.4382656958
nearest_station_name[荏原町]:land_m2,548293.1839491846
nearest_station_name[荒川一中前]:land_m2,236236.49397737268
nearest_station_name[荒川七丁目]:land_m2,705554.8180533361
nearest_station_name[荒川二丁目]:land_m2,338977.5875412839
nearest_station_name[荒川区役所前]:land_m2,308483.0790974858
nearest_station_name[荒川車庫前]:land_m2,385905.9030425867
nearest_station_name[荒川遊園地前]:land_m2,308970.3729722701
nearest_station_name[荻窪]:land_m2,633770.002619926
nearest_station_name[菊川(東京)]:land_m2,740988.4761726657
nearest_station_name[落合]:land_m2,611233.062905448
nearest_station_name[落合南長崎]:land_m2,633560.0891610773
nearest_station_name[葛西]:land_m2,417709.51403616066
nearest_station_name[葛西臨海公園]:land_m2,424997.573993122
nearest_station_name[蒲田]:land_m2,537785.9171568251
nearest_station_name[蓮根]:land_m2,398034.7925688672
nearest_station_name[蓮沼]:land_m2,544338.7063393735
nearest_station_name[蔵前]:land_m2,871555.2983014974
nearest_station_name[虎ノ門]:land_m2,1037527.025439848
nearest_station_name[表参道]:land_m2,1647247.2080269011
nearest_station_name[西ケ原]:land_m2,500318.5296924476
nearest_station_name[西ケ原四丁目]:land_m2,413085.62160601205
nearest_station_name[西台]:land_m2,414298.2908168754
nearest_station_name[西大井]:land_m2,626135.8291941157
nearest_station_name[西大島]:land_m2,459072.88147031213
nearest_station_name[西太子堂]:land_m2,686850.4107621221
nearest_station_name[西小山]:land_m2,765743.0659510068
nearest_station_name[西巣鴨]:land_m2,527659.7913991326
nearest_station_name[西新井]:land_m2,319391.7228035733
nearest_station_name[西新井大師西]:land_m2,243797.0420362884
nearest_station_name[西新宿]:land_m2,642630.8420942669
nearest_station_name[西新宿五丁目]:land_m2,739201.1980417639
nearest_station_name[西日暮里]:land_m2,665992.8383100859
nearest_station_name[西早稲田]:land_m2,880759.758465826
nearest_station_name[西永福]:land_m2,575645.7462794044
nearest_station_name[西荻窪]:land_m2,638691.1574761885
nearest_station_name[西葛西]:land_m2,459146.092493242
nearest_station_name[西調布]:land_m2,375690.8542081186
nearest_station_name[西馬込]:land_m2,523605.6370601248
nearest_station_name[西高島平]:land_m2,289284.0686390802
nearest_station_name[要町]:land_m2,621611.9553572584
nearest_station_name[見沼代親水公園]:land_m2,196826.96810973328
nearest_station_name[調布]:land_m2,354616.01959158684
nearest_station_name[護国寺]:land_m2,826464.1979652622
nearest_station_name[谷在家]:land_m2,204028.85248012733
nearest_station_name[谷塚]:land_m2,255011.25034619396
nearest_station_name[豊島園]:land_m2,463662.25435946824
nearest_station_name[豊洲]:land_m2,738786.026054727
nearest_station_name[豪徳寺]:land_m2,714752.0178407272
nearest_station_name[赤土小学校前]:land_m2,324018.15154235036
nearest_station_name[赤坂(東京)]:land_m2,1015432.9017548395
nearest_station_name[赤坂見附]:land_m2,967869.3201165957
nearest_station_name[赤羽]:land_m2,479578.1973069331
nearest_station_name[赤羽岩淵]:land_m2,398007.6450834059
nearest_station_name[赤羽橋]:land_m2,1152034.2407482122
nearest_station_name[越中島]:land_m2,752100.2296145825
nearest_station_name[足立小台]:land_m2,222463.05091002706
nearest_station_name[都立大学]:land_m2,887141.2606348033
nearest_station_name[都立家政]:land_m2,481683.21690504526
nearest_station_name[野方]:land_m2,489125.8586247089
nearest_station_name[金町]:land_m2,295793.36838931905
nearest_station_name[錦糸町]:land_m2,756300.5323539146
nearest_station_name[鐘ケ淵]:land_m2,289931.2108098156
nearest_station_name[長原(東京)]:land_m2,581905.4396439375
nearest_station_name[門前仲町]:land_m2,802247.7717300695
nearest_station_name[阿佐ケ谷]:land_m2,618734.5652904207
nearest_station_name[雑司が谷(東京メトロ)]:land_m2,720727.9347716094
nearest_station_name[雑色]:land_m2,445821.91501852847
nearest_station_name[雪が谷大塚]:land_m2,625175.0414063772
nearest_station_name[青井]:land_m2,287866.6711491461
nearest_station_name[青山一丁目]:land_m2,1300974.8919844837
nearest_station_name[青物横丁]:land_m2,657532.2343172155
nearest_station_name[青砥]:land_m2,346742.97471437306
nearest_station_name[面影橋]:land_m2,188524.96953191323
nearest_station_name[飛鳥山]:land_m2,554944.639730399
nearest_station_name[飯田橋]:land_m2,1029690.3054902662
nearest_station_name[馬喰横山]:land_m2,803105.6757648853
nearest_station_name[馬喰町]:land_m2,1039558.1908293098
nearest_station_name[馬込]:land_m2,494109.1231632184
nearest_station_name[駒場東大前]:land_m2,978940.6620621647
nearest_station_name[駒沢大学]:land_m2,797974.6968181924
nearest_station_name[駒込]:land_m2,774379.9304271197
nearest_station_name[高井戸]:land_m2,545050.0298965188
nearest_station_name[高円寺]:land_m2,596490.9827717548
nearest_station_name[高島平]:land_m2,349452.1838954157
nearest_station_name[高田馬場]:land_m2,776016.523047341
nearest_station_name[高輪台]:land_m2,1000835.6101206652
nearest_station_name[高野(東京)]:land_m2,177453.09998947737
nearest_station_name[鮫洲]:land_m2,558739.1997989939
nearest_station_name[鵜の木]:land_m2,515578.98564162053
nearest_station_name[鶯谷]:land_m2,655452.8893853895
nearest_station_name[鷺ノ宮]:land_m2,491762.0207295275
nearest_station_name[麻布十番]:land_m2,1438308.5192387993
